"created_at","id","id_str","full_text","truncated","display_text_range","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang","possibly_sensitive","text","favorited_by","scopes","display_text_width","retweeted_status","quoted_status_id","quoted_status_id_str","quoted_status_permalink","quote_count","timestamp_ms","reply_count","filter_level","query","withheld_scope","withheld_copyright","withheld_in_countries","possibly_sensitive_appealable"
2022-10-18 22:13:22,1582540374173978624,"1582540374173978625","@Viviluc2 Mira tu, ""el país a Boric"" no sabía que Boric había comprado Chile. Zurda aweoná.",FALSE,91,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582520626761191424,"1582520626761191425",1047300005617385472,"1047300005617385473","Viviluc2",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@Viviluc2 Mira tu, ""el país a Boric"" no sabía que Boric había comprado Chile. Zurda aweoná.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:21,1582540373187907584,"1582540373187907584","@GiovanniLarama @bacigalupe @gonzalowinter @Marcelosantiba 
El índice de pobreza en Chile aumentó, ya superó los dos dígitos, este poético gobierno no se la puede.
Vamos a tener que rogar para que los Reyes Magos vengan a gobernar Chile.",FALSE,237,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1582162848117293056,"1582162848117293056",1067310397357731840,"1067310397357731840","GiovanniLarama",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@GiovanniLarama @bacigalupe @gonzalowinter @Marcelosantiba 
El índice de pobreza en Chile aumentó, ya superó los dos dígitos, este poético gobierno no se la puede.
Vamos a tener que rogar para que los Reyes Magos vengan a gobernar Chile.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:21,1582540370671325184,"1582540370671325184","@patriciosainzr Puedo ir si no estudio derecho y no estudio en la Chile?",FALSE,72,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1582535023051165696,"1582535023051165697",155310985,"155310985","patriciosainzr",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@patriciosainzr Puedo ir si no estudio derecho y no estudio en la Chile?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:21,1582540369912217600,"1582540369912217600","Éste gobierno está jugando con la ciudadanía... hay que sacarlo del poder... Vamossss Chileno!!! Construyamos un Chile libre... RENUNCIA Boric.",FALSE,143,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"es",NA,"Éste gobierno está jugando con la ciudadanía... hay que sacarlo del poder... Vamossss Chileno!!! Construyamos un Chile libre... RENUNCIA Boric.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:20,1582540368834240512,"1582540368834240512","I stayed for dollar bill 😂 Quedé para billete 💵 en Santiago, Chile https://t.co/JXUD3F9E3P",FALSE,90,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"es",FALSE,"I stayed for dollar bill 😂 Quedé para billete 💵 en Santiago, Chile https://t.co/JXUD3F9E3P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:20,1582540366519029760,"1582540366519029760","@TameVenegas @torovoltan Y quien dijo que era chile wn dkdkdkd",FALSE,62,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1582454473728802816,"1582454473728802816",1251333371986432000,"1251333371986432001","TameVenegas",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@TameVenegas @torovoltan Y quien dijo que era chile wn dkdkdkd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:20,1582540365650751488,"1582540365650751489","@Isyorky Si amiga querida!! Y además Chile será el único país de América latina que este otro año tendrá cero crecimiento !! Más pobreza , cesantía ,etc ,etc !!",FALSE,160,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1582532818143281152,"1582532818143281152",379959854,"379959854","Isyorky",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@Isyorky Si amiga querida!! Y además Chile será el único país de América latina que este otro año tendrá cero crecimiento !! Más pobreza , cesantía ,etc ,etc !!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:19,1582540363037700096,"1582540363037700098","@copano Hoy escuchaba en la radio argentina Futurock, que lo que le sobra de desigualdad y clasismo a Chile le falta de peronismo.",FALSE,130,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1582531291412459520,"1582531291412459520",6976792,"6976792","copano",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@copano Hoy escuchaba en la radio argentina Futurock, que lo que le sobra de desigualdad y clasismo a Chile le falta de peronismo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:19,1582540362651815936,"1582540362651815937","@RobertoMerken 100 delicuentes narcos vomitando su miseria…Chile mayoritariamente los repudia…uds no son ni el 1% de la ciudadanía…muéranse",FALSE,139,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1582498211683479552,"1582498211683479552",888930378148438016,"888930378148438016","RobertoMerken",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@RobertoMerken 100 delicuentes narcos vomitando su miseria…Chile mayoritariamente los repudia…uds no son ni el 1% de la ciudadanía…muéranse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:18,1582540357622853632,"1582540357622853639","@jg250319 @dw_espanol Y cada día llegan más y más a Chile.",FALSE,58,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1582431780573171712,"1582431780573171712",40110440,"40110440","jg250319",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@jg250319 @dw_espanol Y cada día llegan más y más a Chile.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:17,1582540356712689664,"1582540356712689665","@DignidadFabiola https://t.co/iDsbR3kZel la OEA dijo de donde viene el mal del comunismo destruyeron la democracia no solo en Chile si no en America y siguen destruyendo Chile pero el pueblo no perdona ni olvida al rato salen de alli malditos",FALSE,242,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582469253986324480,"1582469253986324480",1441948775900008448,"1441948775900008449","DignidadFabiola",NA,FALSE,0,0,FALSE,FALSE,"es",FALSE,"@DignidadFabiola https://t.co/iDsbR3kZel la OEA dijo de donde viene el mal del comunismo destruyeron la democracia no solo en Chile si no en America y siguen destruyendo Chile pero el pueblo no perdona ni olvida al rato salen de alli malditos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:17,1582540356444651520,"1582540356444651520","@maurojav0407 Pani Momio.Yo ya lo vengo diciendo en las dos APP,desde hace tiempo.Pero me encuentro con compatriotas, que viven en un mundo de burbuja y siguen solo haciendo comentarios por redes sociales, sin ser capaces, de levantarse desde sus casas, y salir a defender a nuestro Chile queri",FALSE,294,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582402961858129920,"1582402961858129922",1541146180779880448,"1541146180779880448","maurojav0407",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@maurojav0407 Pani Momio.Yo ya lo vengo diciendo en las dos APP,desde hace tiempo.Pero me encuentro con compatriotas, que viven en un mundo de burbuja y siguen solo haciendo comentarios por redes sociales, sin ser capaces, de levantarse desde sus casas, y salir a defender a nuestro Chile queri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:14,1582540343454507008,"1582540343454507008","Chile figura como el país con más infartos en latinoamerica, coincide con ser el país más vacunado, triste realidad.
No lo quieren creer, no lo quieren decir, algunos abrirán los ojos otros nunca lo harán.
A ser fuertes por lo que viene.",FALSE,237,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"es",NA,"Chile figura como el país con más infartos en latinoamerica, coincide con ser el país más vacunado, triste realidad.
No lo quieren creer, no lo quieren decir, algunos abrirán los ojos otros nunca lo harán.
A ser fuertes por lo que viene.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:11,1582540328598474752,"1582540328598474753","Acaba de publicar una foto en Santiago, Chile https://t.co/hzvxgiR29Z",FALSE,69,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"es",FALSE,"Acaba de publicar una foto en Santiago, Chile https://t.co/hzvxgiR29Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:08,1582540319211806720,"1582540319211806721","@LorenaPizarroS @BancadaPC_FRVS Señora, y no dice nada por los DDHH de los millones de chilenos que sufrimos desde  hace 3 años por los delincuentes que destruyeron Chile, hace 3 años que este país está invivible, y de pasadita dígale al PC que done sus terrenos para construir casas dignas…..",FALSE,293,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582385343701012480,"1582385343701012481",1683890814,"1683890814","LorenaPizarroS",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@LorenaPizarroS @BancadaPC_FRVS Señora, y no dice nada por los DDHH de los millones de chilenos que sufrimos desde  hace 3 años por los delincuentes que destruyeron Chile, hace 3 años que este país está invivible, y de pasadita dígale al PC que done sus terrenos para construir casas dignas…..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:07,1582540314723909632,"1582540314723909632","les comentamos que Ex ley extraviados no era el fin de proyecto lo perfeccionaremos lo puliremos y responderemos a la necesidad que en chile a olvidado.
las familias no estarán solas estaremos alli para darles la mano que ayuda y acompaña la angustia.",FALSE,251,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582538843584352256,"1582538843584352256",864885777876078592,"864885777876078593","Personaschile",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"les comentamos que Ex ley extraviados no era el fin de proyecto lo perfeccionaremos lo puliremos y responderemos a la necesidad que en chile a olvidado.
las familias no estarán solas estaremos alli para darles la mano que ayuda y acompaña la angustia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:06,1582540310378598400,"1582540310378598403","@KarimBianchi @Beakobito1 @adeurresti @ximenaordenes @alvaroelizalde @SenadoresPS han humillado tanto al partido de Salvador Allende estos senadores requetecontra vendidos, no se puede esperar ningún gesto de servicio hacia los conciudadanos en el camino se transformaron en egoístas neoliberales.

@JS_Chile @MujeresPS @iigualdad
#VerguenzaNacional",FALSE,349,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582489434250829824,"1582489434250829825",478722762,"478722762","KarimBianchi",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@KarimBianchi @Beakobito1 @adeurresti @ximenaordenes @alvaroelizalde @SenadoresPS han humillado tanto al partido de Salvador Allende estos senadores requetecontra vendidos, no se puede esperar ningún gesto de servicio hacia los conciudadanos en el camino se transformaron en egoístas neoliberales.

@JS_Chile @MujeresPS @iigualdad
#VerguenzaNacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:00,1582540285497602048,"1582540285497602048","@fresiasoltof mejor sigue practicando yoga , no tienes idea de  la  visión política de Chile .",FALSE,94,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582350975981219840,"1582350975981219841",38009453,"38009453","fresiasoltof",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@fresiasoltof mejor sigue practicando yoga , no tienes idea de  la  visión política de Chile .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:13:00,1582540282737803264,"1582540282737803264","El presidente de #Chile, #GabrielBoric, envió un contundente mensaje a los migrantes que se mantienen de forma irregular. Por su parte, organizaciones pro migrantes consideraran que estas declaraciones son una forma de criminalizar la #Migracion. 

https://t.co/aUmh36N7nS",FALSE,272,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"es",FALSE,"El presidente de #Chile, #GabrielBoric, envió un contundente mensaje a los migrantes que se mantienen de forma irregular. Por su parte, organizaciones pro migrantes consideraran que estas declaraciones son una forma de criminalizar la #Migracion. 

https://t.co/aUmh36N7nS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:12:59,1582540279411666944,"1582540279411666944","@vladomirosevic @Liberales_Chile Nada que celebrar, ustedes son los culpables de la normalización de la violencia, que los Ladrones sean las víctimas. Otra cosa es con guitarra ?",FALSE,178,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1582515619999584256,"1582515619999584257",14989742,"14989742","vladomirosevic",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@vladomirosevic @Liberales_Chile Nada que celebrar, ustedes son los culpables de la normalización de la violencia, que los Ladrones sean las víctimas. Otra cosa es con guitarra ?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:12:59,1582540277599739904,"1582540277599739904","Hay que ser una seria crítica a la derecha y es que pareciera que quedan sólo en palabras. No veo acciones para parar el descalabro de Chile provocado por boric y el comunismo
#GolpeDeEstado #EstallidoDelictual #EstallidoFueCriminal",FALSE,232,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,"es",NA,"Hay que ser una seria crítica a la derecha y es que pareciera que quedan sólo en palabras. No veo acciones para parar el descalabro de Chile provocado por boric y el comunismo
#GolpeDeEstado #EstallidoDelictual #EstallidoFueCriminal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:12:56,1582540268464529408,"1582540268464529408","@latercera Una percepción de crisis recorre Chile entero.
Estamos en una crisis grave de gobernabilidad.
Los q nos gobiernan alentaron y legitimaron la violencia y los ataques a carabineros.
Ahora están en una posición ambigua q nadie les cree",FALSE,243,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1582539268307976192,"1582539268307976192",3222731,"3222731","latercera",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@latercera Una percepción de crisis recorre Chile entero.
Estamos en una crisis grave de gobernabilidad.
Los q nos gobiernan alentaron y legitimaron la violencia y los ataques a carabineros.
Ahora están en una posición ambigua q nadie les cree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-18 22:12:56,1582540268104200192,"1582540268104200193","@caromeva Chile, tierra fertil de opinólogos de farándula. Cuantos millones gana este tipo.",FALSE,91,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1582395875191853056,"1582395875191853056",38431717,"38431717","caromeva",NA,FALSE,0,0,FALSE,FALSE,"es",NA,"@caromeva Chile, tierra fertil de opinólogos de farándula. Cuantos millones gana este tipo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
